facility,category,temperature,gas_ppm,noise_db,radiation,heart_rate,fatigue,hour
Distillation Column,Petrochemical,92.0,0.0,77.8,0.1032,100.1,12.6,2.7
Distillation Column,Petrochemical,92.0,0.0,77.6,0.1096,98.9,10.5,2.78
Distillation Column,Petrochemical,92.0,0.0,76.0,0.1166,98.6,15.5,2.85
Distillation Column,Petrochemical,92.0,0.0,77.2,0.1127,98.3,12.8,2.92
Distillation Column,Petrochemical,92.0,0.0,76.8,0.1107,95.8,9.7,3.0
Distillation Column,Petrochemical,92.0,0.0,76.3,0.1149,100.4,13.3,3.07
Distillation Column,Petrochemical,92.0,0.0,80.7,0.1114,98.5,11.2,3.15
Distillation Column,Petrochemical,92.0,0.0,76.6,0.106,101.1,10.6,3.22
Distillation Column,Petrochemical,92.0,0.0,77.8,0.1014,100.5,9.7,3.3
Distillation Column,Petrochemical,92.0,0.0,76.5,0.1085,103.7,10.1,3.38
Distillation Column,Petrochemical,92.0,0.0,77.6,0.112,102.2,13.4,3.45
Distillation Column,Petrochemical,92.0,0.0,80.1,0.1124,103.1,13.6,3.53
Distillation Column,Petrochemical,92.0,0.0,79.4,0.1079,102.1,11.1,3.6
Distillation Column,Petrochemical,92.0,0.0,75.4,0.117,98.4,15.3,3.68
Distillation Column,Petrochemical,92.0,0.0,75.7,0.1176,101.9,15.5,3.75
Distillation Column,Petrochemical,92.0,0.0,74.8,0.1107,100.1,11.3,3.82
Distillation Column,Petrochemical,92.0,0.0,77.0,0.114,99.5,12.2,3.9
Distillation Column,Petrochemical,92.0,0.0,75.6,0.1133,99.0,14.6,3.97
Distillation Column,Petrochemical,92.0,0.0,74.9,0.1145,104.4,14.3,4.05
Distillation Column,Petrochemical,92.0,0.0,75.2,0.1124,95.3,14.2,4.12
Distillation Column,Petrochemical,92.0,0.0,77.7,0.1114,100.9,16.1,4.2
Distillation Column,Petrochemical,92.0,0.0,76.7,0.1128,100.1,11.1,4.28
Distillation Column,Petrochemical,92.0,6.4,72.7,0.113,96.9,14.3,4.35
Distillation Column,Petrochemical,92.0,13.9,75.0,0.105,98.3,13.4,4.43
Distillation Column,Petrochemical,92.0,25.0,75.1,0.1055,99.4,13.8,4.5
Distillation Column,Petrochemical,92.0,37.0,77.9,0.1124,100.1,14.4,4.57
Distillation Column,Petrochemical,92.0,48.1,77.0,0.1108,99.2,17.4,4.65
Distillation Column,Petrochemical,92.0,60.7,76.4,0.111,100.3,13.8,4.72
Distillation Column,Petrochemical,92.0,70.2,75.0,0.1073,101.4,17.1,4.8
Distillation Column,Petrochemical,92.0,80.2,74.1,0.1152,98.0,20.2,4.88
Distillation Column,Petrochemical,92.0,87.3,73.2,0.1127,98.4,18.1,4.95
Distillation Column,Petrochemical,92.0,105.9,76.3,0.1067,101.7,18.1,5.03
Distillation Column,Petrochemical,92.0,105.1,77.0,0.0976,100.8,16.1,5.1
Distillation Column,Petrochemical,92.0,115.1,76.6,0.103,96.5,21.8,5.18
Distillation Column,Petrochemical,92.0,129.8,75.7,0.104,95.8,17.0,5.25
Distillation Column,Petrochemical,92.0,134.1,76.0,0.1037,98.7,17.6,5.32
Distillation Column,Petrochemical,92.0,144.9,76.9,0.1081,101.6,18.0,5.4
Distillation Column,Petrochemical,92.0,156.6,73.9,0.1072,99.6,20.3,5.47
Distillation Column,Petrochemical,92.0,171.4,73.7,0.1122,99.0,19.4,5.55
Distillation Column,Petrochemical,92.0,172.3,75.8,0.1012,97.2,22.7,5.62
Distillation Column,Petrochemical,92.0,179.3,73.2,0.1062,99.6,18.9,5.7
Distillation Column,Petrochemical,92.0,185.1,73.0,0.0963,98.1,20.4,5.78
Distillation Column,Petrochemical,92.0,189.7,76.1,0.1048,98.6,23.8,5.85
Distillation Column,Petrochemical,92.0,197.6,72.0,0.1028,101.2,23.5,5.93
Distillation Column,Petrochemical,92.0,203.8,73.1,0.102,94.3,23.0,6.0
Distillation Column,Petrochemical,92.0,205.4,70.4,0.1072,100.8,23.7,6.07
Distillation Column,Petrochemical,92.0,200.8,69.2,0.1017,100.4,20.7,6.15
Distillation Column,Petrochemical,92.0,204.6,71.8,0.0997,103.2,23.4,6.23
Distillation Column,Petrochemical,88.4,205.0,70.4,0.0937,97.2,21.0,6.3
Distillation Column,Petrochemical,83.5,204.5,69.6,0.1041,99.1,24.1,6.38
Distillation Column,Petrochemical,79.4,207.0,72.9,0.1065,99.9,24.3,6.45
Distillation Column,Petrochemical,74.5,203.1,72.1,0.1054,96.2,22.0,6.52
Distillation Column,Petrochemical,70.4,197.8,69.5,0.1036,99.2,22.3,6.6
Distillation Column,Petrochemical,64.2,195.2,67.8,0.0989,100.4,23.0,6.68
Distillation Column,Petrochemical,63.2,192.3,68.0,0.0995,96.5,24.7,6.75
Distillation Column,Petrochemical,59.7,187.5,71.3,0.0972,98.1,26.3,6.82
Distillation Column,Petrochemical,51.1,179.3,72.6,0.0962,95.0,27.1,6.9
Distillation Column,Petrochemical,51.2,177.5,71.0,0.0958,100.1,23.7,6.98
Distillation Column,Petrochemical,45.7,162.1,68.8,0.0944,96.5,23.4,7.05
Distillation Column,Petrochemical,40.4,161.0,69.1,0.1039,96.8,24.1,7.12
Distillation Column,Petrochemical,38.8,155.2,69.2,0.097,96.0,20.6,7.2
Distillation Column,Petrochemical,35.6,140.6,69.6,0.0994,93.6,25.9,7.27
Distillation Column,Petrochemical,31.1,132.1,69.6,0.0894,96.1,21.7,7.35
Distillation Column,Petrochemical,29.0,124.1,69.2,0.0916,93.7,22.9,7.43
Distillation Column,Petrochemical,25.4,115.1,67.7,0.0879,97.4,22.3,7.5
Distillation Column,Petrochemical,21.9,105.7,71.0,0.1008,97.5,22.3,7.57
Distillation Column,Petrochemical,18.9,94.1,69.7,0.0962,98.2,20.6,7.65
Distillation Column,Petrochemical,18.0,83.2,68.9,0.1001,98.2,21.6,7.73
Distillation Column,Petrochemical,18.0,70.7,70.8,0.1,93.7,22.4,7.8
Distillation Column,Petrochemical,18.0,62.8,69.2,0.0946,95.9,22.9,7.88
Distillation Column,Petrochemical,18.0,47.8,69.6,0.0897,97.6,19.9,7.95
Distillation Column,Petrochemical,18.0,39.6,68.1,0.0982,95.8,23.6,8.02
Distillation Column,Petrochemical,18.0,33.3,69.1,0.1037,102.2,23.3,8.1
Distillation Column,Petrochemical,18.0,17.1,67.9,0.0994,94.5,18.5,8.18
Distillation Column,Petrochemical,18.0,12.1,67.5,0.1029,93.2,23.4,8.25
Distillation Column,Petrochemical,18.0,6.3,67.2,0.0936,96.6,23.7,8.32
Distillation Column,Petrochemical,18.0,0.0,68.5,0.0998,99.8,23.3,8.4
Distillation Column,Petrochemical,18.0,0.0,67.2,0.095,98.1,25.2,8.48
Distillation Column,Petrochemical,18.0,0.0,68.0,0.0787,97.9,19.0,8.55
Distillation Column,Petrochemical,18.0,0.0,70.3,0.0883,95.0,22.0,8.62
Distillation Column,Petrochemical,18.0,0.0,67.0,0.096,95.5,22.8,8.7
Distillation Column,Petrochemical,18.0,0.0,65.3,0.1029,97.2,21.9,8.77
Distillation Column,Petrochemical,18.0,0.0,67.4,0.0913,96.0,19.8,8.85
Distillation Column,Petrochemical,18.0,0.0,68.7,0.0953,90.9,22.4,8.93
Distillation Column,Petrochemical,18.0,0.0,65.4,0.0932,95.1,22.1,9.0
Distillation Column,Petrochemical,18.0,0.0,67.5,0.0921,98.7,22.6,9.07
Distillation Column,Petrochemical,18.0,0.0,67.1,0.0979,94.4,24.2,9.15
Distillation Column,Petrochemical,18.0,0.0,69.4,0.0939,96.5,25.7,9.23
Distillation Column,Petrochemical,18.0,0.0,67.2,0.0959,97.9,22.9,9.3
Distillation Column,Petrochemical,18.0,0.0,68.3,0.0881,95.1,20.8,9.38
Distillation Column,Petrochemical,18.0,0.0,65.4,0.0885,98.2,21.4,9.45
Distillation Column,Petrochemical,18.0,0.0,66.8,0.0941,94.8,24.7,9.52
Distillation Column,Petrochemical,18.0,0.0,68.1,0.0979,95.2,27.6,9.6
Distillation Column,Petrochemical,18.0,0.0,65.6,0.0975,98.7,21.9,9.68
Distillation Column,Petrochemical,18.0,0.0,71.5,0.0947,97.9,22.6,9.75
Distillation Column,Petrochemical,18.0,0.0,69.3,0.0959,101.6,22.9,9.82
Distillation Column,Petrochemical,18.0,0.0,69.6,0.0929,97.6,23.2,9.9
Distillation Column,Petrochemical,18.0,0.0,68.6,0.0935,96.1,24.1,9.98
Distillation Column,Petrochemical,18.0,0.0,68.4,0.0995,93.9,22.8,10.05
Distillation Column,Petrochemical,18.0,0.0,64.8,0.0998,94.6,23.6,10.12
Distillation Column,Petrochemical,18.0,0.0,66.9,0.0961,97.7,20.3,10.2
Distillation Column,Petrochemical,21.7,0.0,68.2,0.0976,99.4,25.4,10.27
Distillation Column,Petrochemical,25.1,11.3,68.1,0.1052,100.1,25.8,10.35
Distillation Column,Petrochemical,28.4,18.6,68.3,0.1021,98.8,26.3,10.43
Distillation Column,Petrochemical,28.9,32.4,69.3,0.0916,96.3,27.4,10.5
Distillation Column,Petrochemical,34.8,41.6,67.4,0.1037,97.9,27.3,10.57
Distillation Column,Petrochemical,38.2,53.5,68.6,0.094,98.2,25.0,10.65
Distillation Column,Petrochemical,41.8,66.1,71.7,0.0942,98.7,29.2,10.73
Distillation Column,Petrochemical,43.1,73.2,69.2,0.1081,99.4,28.6,10.8
Distillation Column,Petrochemical,48.1,83.9,71.0,0.0951,95.9,32.0,10.88
Distillation Column,Petrochemical,51.9,100.4,69.8,0.097,99.8,30.7,10.95
Distillation Column,Petrochemical,55.2,105.8,71.2,0.0999,95.2,26.1,11.02
Distillation Column,Petrochemical,60.2,116.7,73.5,0.1025,99.3,29.0,11.1
Distillation Column,Petrochemical,64.5,124.8,70.6,0.0952,96.4,32.0,11.18
Distillation Column,Petrochemical,67.9,136.6,69.4,0.0947,99.8,33.5,11.25
Distillation Column,Petrochemical,72.5,143.4,74.4,0.094,90.7,30.2,11.32
Distillation Column,Petrochemical,75.4,154.3,72.9,0.0978,96.6,28.2,11.4
Distillation Column,Petrochemical,81.7,165.3,72.6,0.104,102.3,29.6,11.48
Distillation Column,Petrochemical,85.9,169.9,73.0,0.0999,100.0,32.5,11.55
Distillation Column,Petrochemical,91.7,174.9,72.5,0.1017,97.8,33.1,11.62
Distillation Column,Petrochemical,92.0,183.0,71.6,0.0965,97.8,30.8,11.7
Distillation Column,Petrochemical,92.0,189.0,70.3,0.1104,100.1,32.1,11.77
Distillation Column,Petrochemical,92.0,194.7,72.9,0.1022,98.3,31.7,11.85
Distillation Column,Petrochemical,92.0,193.0,71.2,0.1099,99.4,31.7,11.93
Catalytic Cracker,Petrochemical,92.0,280.0,74.7,0.2212,121.9,9.4,0.0
Catalytic Cracker,Petrochemical,92.0,280.0,73.8,0.2112,125.2,11.0,0.08
Catalytic Cracker,Petrochemical,92.0,280.0,76.1,0.2186,125.6,10.7,0.15
Catalytic Cracker,Petrochemical,92.0,280.0,75.6,0.2018,125.5,11.8,0.22
Catalytic Cracker,Petrochemical,92.0,280.0,73.5,0.2249,124.7,11.2,0.3
Catalytic Cracker,Petrochemical,92.0,280.0,74.2,0.2107,125.0,14.0,0.38
Catalytic Cracker,Petrochemical,92.0,280.0,74.7,0.2184,122.8,13.7,0.45
Catalytic Cracker,Petrochemical,92.0,280.0,76.4,0.2236,127.0,16.6,0.52
Catalytic Cracker,Petrochemical,92.0,280.0,73.5,0.2208,126.8,14.1,0.6
Catalytic Cracker,Petrochemical,92.0,280.0,75.2,0.2186,123.8,12.1,0.68
Catalytic Cracker,Petrochemical,92.0,280.0,74.0,0.2256,122.9,17.0,0.75
Catalytic Cracker,Petrochemical,92.0,280.0,76.3,0.23,123.3,10.3,0.83
Catalytic Cracker,Petrochemical,92.0,280.0,75.9,0.2218,126.9,15.2,0.9
Catalytic Cracker,Petrochemical,92.0,280.0,78.1,0.2259,122.4,13.7,0.98
Catalytic Cracker,Petrochemical,92.0,280.0,76.7,0.2273,126.4,14.1,1.05
Catalytic Cracker,Petrochemical,92.0,280.0,76.8,0.2181,124.3,13.0,1.12
Catalytic Cracker,Petrochemical,92.0,280.0,77.1,0.2274,124.5,15.8,1.2
Catalytic Cracker,Petrochemical,92.0,280.0,77.1,0.2171,122.7,9.0,1.27
Catalytic Cracker,Petrochemical,92.0,280.0,75.9,0.2299,125.1,15.6,1.35
Catalytic Cracker,Petrochemical,92.0,280.0,75.6,0.2297,129.3,14.5,1.42
Catalytic Cracker,Petrochemical,92.0,280.0,77.6,0.2264,126.5,11.3,1.5
Catalytic Cracker,Petrochemical,92.0,279.2,78.8,0.2316,123.0,13.8,1.58
Catalytic Cracker,Petrochemical,92.0,253.5,80.1,0.2351,126.2,12.3,1.65
Catalytic Cracker,Petrochemical,92.0,226.3,76.7,0.2309,122.3,16.2,1.72
Catalytic Cracker,Petrochemical,92.0,193.3,76.1,0.2343,124.5,15.4,1.8
Catalytic Cracker,Petrochemical,92.0,161.0,78.4,0.2208,127.1,16.8,1.88
Catalytic Cracker,Petrochemical,92.0,130.3,78.6,0.2271,127.1,14.4,1.95
Catalytic Cracker,Petrochemical,92.0,99.6,79.0,0.2345,125.4,11.9,2.03
Catalytic Cracker,Petrochemical,92.0,71.3,79.7,0.2322,127.7,11.9,2.1
Catalytic Cracker,Petrochemical,92.0,45.0,76.7,0.23,124.1,15.7,2.17
Catalytic Cracker,Petrochemical,92.0,12.8,80.4,0.2338,124.7,11.9,2.25
Catalytic Cracker,Petrochemical,92.0,0.0,76.4,0.2281,127.0,14.1,2.33
Catalytic Cracker,Petrochemical,92.0,0.0,79.4,0.2329,122.1,16.1,2.4
Catalytic Cracker,Petrochemical,92.0,0.0,79.7,0.2281,128.3,18.7,2.47
Catalytic Cracker,Petrochemical,92.0,0.0,81.0,0.2298,127.7,13.4,2.55
Catalytic Cracker,Petrochemical,92.0,0.0,79.3,0.228,126.1,14.3,2.62
Catalytic Cracker,Petrochemical,92.0,0.0,79.8,0.2327,126.5,14.1,2.7
Catalytic Cracker,Petrochemical,92.0,0.0,80.1,0.2262,126.2,11.2,2.78
Catalytic Cracker,Petrochemical,92.0,0.0,80.0,0.2298,125.2,15.5,2.85
Catalytic Cracker,Petrochemical,92.0,0.0,75.4,0.229,125.4,12.2,2.92
Catalytic Cracker,Petrochemical,92.0,0.0,77.6,0.2279,128.7,11.5,3.0
Catalytic Cracker,Petrochemical,92.0,0.0,77.8,0.227,130.2,13.7,3.07
Catalytic Cracker,Petrochemical,92.0,0.0,78.0,0.2175,127.3,15.2,3.15
Catalytic Cracker,Petrochemical,92.0,0.0,78.9,0.226,130.6,11.7,3.22
Catalytic Cracker,Petrochemical,92.0,0.0,79.7,0.2305,126.2,15.1,3.3
Catalytic Cracker,Petrochemical,92.0,0.0,79.4,0.2341,127.7,14.8,3.38
Catalytic Cracker,Petrochemical,92.0,0.0,82.2,0.2323,124.7,15.7,3.45
Catalytic Cracker,Petrochemical,92.0,0.0,78.4,0.2267,127.3,13.4,3.53
Catalytic Cracker,Petrochemical,92.0,0.0,80.2,0.2345,125.6,16.9,3.6
Catalytic Cracker,Petrochemical,92.0,0.0,76.8,0.2292,125.3,15.3,3.68
Catalytic Cracker,Petrochemical,92.0,0.0,80.9,0.2371,130.5,16.3,3.75
Catalytic Cracker,Petrochemical,92.0,0.0,79.6,0.2257,126.9,18.3,3.82
Catalytic Cracker,Petrochemical,92.0,0.0,76.8,0.2371,126.8,17.3,3.9
Catalytic Cracker,Petrochemical,92.0,0.0,79.1,0.2358,125.6,14.3,3.97
Catalytic Cracker,Petrochemical,92.0,0.0,79.8,0.2293,125.3,17.2,4.05
Catalytic Cracker,Petrochemical,92.0,0.0,81.7,0.2266,127.1,21.8,4.12
Catalytic Cracker,Petrochemical,92.0,0.0,77.0,0.2148,125.6,17.0,4.2
Catalytic Cracker,Petrochemical,92.0,0.0,75.4,0.2296,128.3,21.6,4.28
Catalytic Cracker,Petrochemical,92.0,0.0,77.5,0.2213,125.0,17.5,4.35
Catalytic Cracker,Petrochemical,92.0,15.5,77.5,0.232,124.7,18.1,4.43
Catalytic Cracker,Petrochemical,92.0,48.3,76.7,0.2209,122.5,22.0,4.5
Catalytic Cracker,Petrochemical,92.0,76.0,77.6,0.2237,124.0,22.3,4.57
Catalytic Cracker,Petrochemical,92.0,109.7,79.1,0.2273,125.4,23.0,4.65
Catalytic Cracker,Petrochemical,92.0,136.4,78.6,0.2254,127.3,22.5,4.72
Catalytic Cracker,Petrochemical,92.0,165.7,76.9,0.222,127.4,20.9,4.8
Catalytic Cracker,Petrochemical,92.0,198.2,74.6,0.2263,125.8,24.2,4.88
Catalytic Cracker,Petrochemical,92.0,223.3,76.0,0.2249,123.2,24.1,4.95
Catalytic Cracker,Petrochemical,92.0,258.2,76.0,0.2298,123.3,24.8,5.03
Catalytic Cracker,Petrochemical,92.0,280.0,76.8,0.222,126.1,22.5,5.1
Catalytic Cracker,Petrochemical,92.0,280.0,77.8,0.2169,124.3,25.6,5.18
Catalytic Cracker,Petrochemical,92.0,280.0,75.2,0.2202,125.4,22.9,5.25
Catalytic Cracker,Petrochemical,92.0,280.0,76.1,0.2132,124.9,23.3,5.32
Catalytic Cracker,Petrochemical,92.0,280.0,78.7,0.2122,124.5,22.0,5.4
Catalytic Cracker,Petrochemical,92.0,280.0,73.1,0.219,124.6,23.5,5.47
Catalytic Cracker,Petrochemical,92.0,280.0,75.2,0.2207,123.8,26.8,5.55
Catalytic Cracker,Petrochemical,92.0,280.0,75.0,0.2248,122.3,29.7,5.62
Catalytic Cracker,Petrochemical,92.0,280.0,73.1,0.2105,128.0,23.8,5.7
Catalytic Cracker,Petrochemical,92.0,280.0,72.7,0.2158,121.1,25.8,5.78
Catalytic Cracker,Petrochemical,92.0,280.0,75.4,0.2135,122.2,28.4,5.85
Catalytic Cracker,Petrochemical,92.0,280.0,75.5,0.2226,122.6,30.0,5.93
Catalytic Cracker,Petrochemical,92.0,280.0,75.1,0.2134,124.9,26.3,6.0
Catalytic Cracker,Petrochemical,92.0,280.0,69.3,0.2161,122.4,27.1,6.07
Catalytic Cracker,Petrochemical,92.0,280.0,72.3,0.2133,120.6,27.2,6.15
Catalytic Cracker,Petrochemical,92.0,280.0,74.0,0.2217,123.5,29.8,6.23
Catalytic Cracker,Petrochemical,92.0,280.0,74.2,0.2028,121.8,30.6,6.3
Catalytic Cracker,Petrochemical,92.0,280.0,73.0,0.2062,121.3,28.8,6.38
Catalytic Cracker,Petrochemical,92.0,280.0,73.2,0.2126,120.9,29.4,6.45
Catalytic Cracker,Petrochemical,92.0,280.0,74.3,0.2138,120.0,32.5,6.52
Catalytic Cracker,Petrochemical,85.7,280.0,72.4,0.2194,120.4,30.4,6.6
Catalytic Cracker,Petrochemical,79.3,280.0,70.1,0.2132,122.2,30.1,6.68
Catalytic Cracker,Petrochemical,70.7,280.0,73.2,0.2059,122.3,32.0,6.75
Catalytic Cracker,Petrochemical,63.1,280.0,70.1,0.2055,121.6,32.4,6.82
Catalytic Cracker,Petrochemical,56.6,280.0,73.2,0.2098,125.0,33.6,6.9
Catalytic Cracker,Petrochemical,48.6,280.0,69.5,0.2119,124.4,30.1,6.98
Catalytic Cracker,Petrochemical,42.2,280.0,70.5,0.1954,119.6,30.9,7.05
Catalytic Cracker,Petrochemical,35.6,280.0,72.0,0.1982,121.9,29.3,7.12
Catalytic Cracker,Petrochemical,28.3,280.0,74.6,0.2059,122.4,33.2,7.2
Catalytic Cracker,Petrochemical,22.2,280.0,72.6,0.2021,119.9,30.8,7.27
Catalytic Cracker,Petrochemical,18.0,280.0,72.8,0.2093,120.9,29.5,7.35
Catalytic Cracker,Petrochemical,18.0,280.0,72.8,0.2003,123.0,31.0,7.43
Catalytic Cracker,Petrochemical,18.0,280.0,71.0,0.2169,117.4,33.0,7.5
Catalytic Cracker,Petrochemical,18.0,265.4,68.3,0.217,122.4,29.7,7.57
Catalytic Cracker,Petrochemical,18.0,240.4,71.9,0.1972,120.4,32.3,7.65
Catalytic Cracker,Petrochemical,18.0,208.5,69.1,0.2072,117.1,35.0,7.73
Catalytic Cracker,Petrochemical,18.0,178.9,69.5,0.2049,121.7,31.5,7.8
Catalytic Cracker,Petrochemical,18.0,146.6,68.7,0.2056,122.1,30.5,7.88
Catalytic Cracker,Petrochemical,18.0,114.5,68.0,0.2042,121.4,33.2,7.95
Catalytic Cracker,Petrochemical,18.0,85.6,70.1,0.2019,117.1,39.1,8.02
Catalytic Cracker,Petrochemical,18.0,51.9,67.5,0.2021,118.3,33.5,8.1
Catalytic Cracker,Petrochemical,18.0,29.1,68.4,0.1961,119.8,27.0,8.18
Catalytic Cracker,Petrochemical,18.0,0.3,71.0,0.2095,121.7,32.2,8.25
Catalytic Cracker,Petrochemical,18.0,0.0,68.4,0.1953,119.9,30.5,8.32
Catalytic Cracker,Petrochemical,18.0,0.0,71.4,0.2035,120.8,27.9,8.4
Catalytic Cracker,Petrochemical,18.0,0.0,69.1,0.2045,120.6,28.7,8.48
Catalytic Cracker,Petrochemical,18.0,0.0,70.7,0.2043,120.1,34.5,8.55
Catalytic Cracker,Petrochemical,18.0,0.0,70.3,0.1962,119.8,29.5,8.62
Catalytic Cracker,Petrochemical,18.0,0.0,70.0,0.1972,122.8,32.6,8.7
Catalytic Cracker,Petrochemical,18.0,0.0,71.9,0.1939,116.3,31.2,8.77
Catalytic Cracker,Petrochemical,18.0,0.0,70.3,0.2139,118.0,29.6,8.85
Catalytic Cracker,Petrochemical,18.0,0.0,65.8,0.2024,119.0,31.5,8.93
Catalytic Cracker,Petrochemical,18.0,0.0,67.7,0.1966,122.8,33.0,9.0
Catalytic Cracker,Petrochemical,18.0,0.0,69.2,0.2064,121.7,29.9,9.07
Catalytic Cracker,Petrochemical,18.0,0.0,72.4,0.2057,118.4,30.4,9.15
Catalytic Cracker,Petrochemical,18.0,0.0,70.8,0.2075,119.3,36.2,9.23
Catalytic Cracker,Petrochemical,18.0,0.0,69.2,0.1959,121.9,33.6,9.3
Catalytic Cracker,Petrochemical,18.0,0.0,67.2,0.2104,116.8,34.0,9.38
Catalytic Cracker,Petrochemical,18.0,0.0,69.3,0.1985,121.1,32.6,9.45
Catalytic Cracker,Petrochemical,18.0,0.0,68.6,0.1906,120.5,35.2,9.52
Catalytic Cracker,Petrochemical,18.0,0.0,70.2,0.1963,120.1,33.3,9.6
Catalytic Cracker,Petrochemical,18.0,0.0,67.4,0.1975,119.1,32.8,9.68
Catalytic Cracker,Petrochemical,18.0,0.0,67.1,0.2074,121.1,36.7,9.75
Catalytic Cracker,Petrochemical,18.0,0.0,70.9,0.1994,120.1,33.2,9.82
Catalytic Cracker,Petrochemical,18.0,0.0,68.8,0.1965,121.0,34.3,9.9
Catalytic Cracker,Petrochemical,18.0,0.0,69.8,0.2029,122.3,36.1,9.98
Catalytic Cracker,Petrochemical,18.0,0.0,69.8,0.2003,118.2,34.4,10.05
Catalytic Cracker,Petrochemical,18.0,0.0,70.1,0.2065,124.2,39.4,10.12
Catalytic Cracker,Petrochemical,18.0,0.0,69.8,0.1948,121.3,38.4,10.2
Catalytic Cracker,Petrochemical,18.0,0.0,70.6,0.2066,118.4,35.3,10.27
Catalytic Cracker,Petrochemical,18.0,6.8,71.7,0.2077,121.0,38.2,10.35
Catalytic Cracker,Petrochemical,18.0,33.6,70.6,0.2061,121.1,39.6,10.43
Catalytic Cracker,Petrochemical,18.0,64.2,70.0,0.2007,122.0,34.9,10.5
Catalytic Cracker,Petrochemical,19.1,90.5,69.5,0.2046,120.1,37.6,10.57
Catalytic Cracker,Petrochemical,25.4,124.0,71.5,0.2011,120.5,40.2,10.65
Catalytic Cracker,Petrochemical,30.0,144.2,72.8,0.2077,123.1,38.0,10.73
Catalytic Cracker,Petrochemical,41.7,174.7,68.4,0.2067,124.7,40.1,10.8
Catalytic Cracker,Petrochemical,46.6,211.6,73.2,0.2057,123.3,41.6,10.88
Catalytic Cracker,Petrochemical,53.2,243.8,70.2,0.2092,120.8,40.5,10.95
Catalytic Cracker,Petrochemical,57.6,270.4,71.4,0.21,117.3,46.6,11.02
Catalytic Cracker,Petrochemical,66.0,280.0,70.7,0.199,123.6,39.3,11.1
Catalytic Cracker,Petrochemical,74.3,280.0,71.0,0.218,123.4,43.6,11.18
Catalytic Cracker,Petrochemical,81.0,280.0,72.5,0.2006,123.9,43.0,11.25
Catalytic Cracker,Petrochemical,90.0,280.0,73.8,0.2165,120.1,43.2,11.32
Catalytic Cracker,Petrochemical,92.0,280.0,74.3,0.2168,120.9,43.9,11.4
